ID_Cliente,Dejo_el_servicio,Genero,Ciudadano_Mayor,Pareja,Dependientes,Tiempo_Servicio,Servicio_Telefonico,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Copia_Seguridad_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Cargos_Mensuales,Cargos_Totales,Cuentas_Diarias,Cantidad_Servicios
0064SUDOG,0,f,0,1,1,12,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,dos anos,0,bank transfer automatic,20.3,224.5,0.6668856767411301,1
0064YIJGF,0,m,0,1,1,27,1,si,fibra optica,no,no,no,no,no,no,mes a mes,1,bank transfer automatic,75.75,1929.0,2.48850197109067,3
0067DKWBL,1,m,1,0,0,2,1,no,dsl,si,no,no,no,no,no,mes a mes,1,cheque electronico,49.25,91.1,1.6179369250985545,3
0068FIGTF,0,f,0,0,0,27,1,no,dsl,no,si,si,si,si,si,un ano,0,cheque enviado por correo,78.2,2078.95,2.568988173455979,7
0071NDAFP,0,m,0,1,1,25,1,si,no,nsin,nsin,nsin,nsin,nsin,nsin,dos anos,0,credit card automatic,25.5,630.6,0.8377135348226018,2
0074HDKDG,0,m,0,1,1,25,1,no,dsl,si,si,si,no,no,no,un ano,1,bank transfer automatic,61.6,1611.0,2.02365308804205,5
0076LVEPS,0,m,0,0,1,29,0,nst,dsl,si,si,si,si,no,no,mes a mes,1,cheque enviado por correo,45.0,1242.45,1.4783180026281209,5
0078XZMHT,0,m,0,1,0,72,1,si,dsl,no,si,si,si,si,si,dos anos,1,bank transfer automatic,85.15,6316.2,2.7973061760841,8
0080EMYVY,0,f,0,0,0,14,1,no,dsl,no,si,no,no,no,no,un ano,0,credit card automatic,51.45,727.85,1.6902102496714848,3
0080OROZO,0,f,0,0,0,35,1,no,fibra optica,no,no,si,si,si,si,un ano,1,cheque electronico,99.25,3532.0,3.260512483574244,6
0082LDZUE,0,m,0,0,0,1,1,no,dsl,no,no,no,no,no,no,mes a mes,1,cheque enviado por correo,44.3,44.3,1.455321944809461,2
0082OQIQY,0,m,0,0,0,29,1,no,fibra optica,no,no,no,si,si,si,mes a mes,1,cheque electronico,94.2,2607.6,3.0946123521681996,5
0083PIVIK,0,m,0,0,0,64,1,si,dsl,si,si,si,si,si,no,un ano,0,cheque electronico,81.25,5567.55,2.669185282522996,8
0089IIQKO,0,f,0,1,1,39,1,si,fibra optica,no,no,no,si,si,si,mes a mes,1,credit card automatic,99.95,3767.4,3.283508541392904,6
0093EXYQL,0,f,1,0,0,40,1,no,fibra optica,no,no,no,no,si,si,mes a mes,1,cheque electronico,91.55,3673.6,3.007555847568988,4
0093XWZFY,1,m,0,0,0,40,1,si,fibra optica,no,si,si,no,si,si,mes a mes,1,credit card automatic,104.5,4036.85,3.4329829172141917,7
0094OIFMO,1,f,1,0,0,11,1,no,fibra optica,no,si,no,no,si,si,mes a mes,1,cheque electronico,95.0,1120.3,3.1208935611038107,5
0096BXERS,0,f,0,1,0,6,1,si,dsl,no,no,no,no,no,no,mes a mes,0,cheque electronico,50.35,314.55,1.6540735873850196,3
0096FCPUF,0,m,0,0,0,30,1,si,dsl,si,no,no,no,no,si,mes a mes,1,cheque enviado por correo,64.5,1888.45,2.11892247043364,5
0098BOWSO,0,m,0,0,0,27,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,mes a mes,1,cheque electronico,19.4,529.8,0.6373193166885676,1
0100DUVFC,0,m,1,1,0,70,1,si,fibra optica,no,si,si,no,si,si,un ano,1,cheque electronico,104.8,7308.95,3.442838370565046,7
0103CSITQ,0,f,0,1,0,57,1,si,fibra optica,no,si,si,si,si,si,un ano,1,bank transfer automatic,109.4,6252.7,3.5939553219448097,8
0104PPXDV,0,m,0,1,0,58,1,no,dsl,no,no,si,no,no,no,un ano,0,credit card automatic,50.3,2878.55,1.652431011826544,3
0106GHRQR,0,m,0,0,0,16,1,si,dsl,no,si,si,no,no,si,mes a mes,1,bank transfer automatic,71.4,1212.1,2.345597897503285,6
0106UGRDO,0,f,0,1,0,69,1,si,fibra optica,si,si,si,si,si,si,dos anos,1,cheque electronico,116.0,8182.85,3.8107752956636003,9
0107WESLM,1,m,0,0,0,1,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,mes a mes,1,cheque electronico,19.85,19.85,0.6521024967148489,1
0107YHINA,1,m,0,0,1,1,1,si,fibra optica,no,no,si,no,si,si,mes a mes,1,cheque electronico,99.75,99.75,3.2769382391590014,6
0111KLBQG,0,m,1,1,1,32,1,no,fibra optica,no,si,no,no,si,si,mes a mes,1,cheque enviado por correo,93.95,2861.45,3.0863994743758214,5
0112QAWRZ,0,m,0,1,1,16,1,si,fibra optica,no,no,si,no,si,no,mes a mes,1,bank transfer automatic,90.8,1442.2,2.9829172141918527,5
0112QWPNC,1,m,0,1,0,49,1,si,dsl,si,no,si,si,si,si,un ano,0,cheque electronico,84.35,4059.35,2.7710249671484886,8
0114IGABW,0,f,0,1,0,71,0,nst,dsl,no,si,si,si,si,si,dos anos,0,bank transfer automatic,58.25,4145.9,1.9136005256241786,6
0114PEGZZ,0,f,0,0,0,33,1,si,fibra optica,no,si,si,no,si,si,mes a mes,0,cheque electronico,107.55,3645.5,3.5331800262812085,7
0114RSRRW,0,f,0,1,0,10,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,mes a mes,1,bank transfer automatic,19.95,187.75,0.6553876478318003,1
0115TFERT,1,m,0,1,0,21,1,si,fibra optica,no,si,si,si,si,si,mes a mes,1,cheque electronico,111.2,2317.1,3.653088042049934,8
0117LFRMW,1,m,0,1,1,37,0,nst,dsl,si,si,si,no,no,no,mes a mes,0,bank transfer automatic,40.2,1448.8,1.3206307490144547,4
0118JPNOY,0,f,1,0,0,26,1,no,fibra optica,si,no,no,no,si,no,mes a mes,1,credit card automatic,85.8,2193.65,2.818659658344284,4
0120YZLQA,0,m,0,0,0,71,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,dos anos,1,credit card automatic,19.9,1355.1,0.6537450722733245,1
0121SNYRK,0,m,0,0,0,50,0,nst,dsl,si,no,no,si,no,no,un ano,1,cheque enviado por correo,35.4,1748.9,1.1629434954007885,3
0122OAHPZ,1,f,0,0,0,7,1,si,fibra optica,no,no,no,no,no,no,mes a mes,1,cheque electronico,73.85,511.25,2.4260840998685937,3
0123CRBRT,0,f,0,1,1,61,1,si,dsl,si,si,si,si,si,si,dos anos,0,cheque enviado por correo,88.1,5526.75,2.894218134034165,9
0125LZQXK,1,m,0,0,0,15,1,no,fibra optica,no,no,si,si,si,si,mes a mes,1,cheque electronico,101.35,1553.95,3.329500657030223,6
0128MKWSG,0,f,0,0,1,26,0,nst,dsl,si,no,no,si,no,si,mes a mes,0,cheque enviado por correo,45.8,1147.0,1.5045992115637317,4
0129KPTWJ,0,m,0,1,0,72,1,no,fibra optica,no,no,si,no,si,si,mes a mes,1,cheque electronico,94.65,6747.35,3.109395532194481,5
0129QMPDR,0,m,0,1,1,44,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,un ano,1,bank transfer automatic,20.5,865.05,0.6734559789750328,1
0130SXOUN,0,m,0,0,0,66,1,si,fibra optica,no,si,no,no,no,si,mes a mes,0,credit card automatic,89.4,5976.9,2.9369250985545334,5
0133BMFZO,1,f,0,0,0,2,1,no,fibra optica,si,si,no,si,no,no,mes a mes,1,cheque electronico,86.25,181.65,2.8334428383705648,5
0134XWXCE,0,f,1,0,0,44,1,no,dsl,no,no,si,si,si,si,un ano,0,bank transfer automatic,74.85,3268.05,2.4589356110381075,6
0135NMXAP,1,f,0,0,0,12,1,si,fibra optica,no,si,no,no,si,no,mes a mes,1,bank transfer automatic,89.75,1052.4,2.948423127463863,5
0136IFMYD,0,m,1,1,0,69,1,si,fibra optica,no,si,si,si,si,si,dos anos,1,cheque electronico,109.95,7634.25,3.612023653088042,8
0137OCGAB,1,f,0,0,0,1,1,si,fibra optica,no,si,no,no,no,no,mes a mes,1,cheque enviado por correo,80.2,80.2,2.6346911957950065,4
0137UDEUO,1,f,0,0,0,3,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,mes a mes,0,cheque enviado por correo,19.85,63.75,0.6521024967148489,1
0139IVFJG,0,f,0,1,0,2,1,no,fibra optica,si,si,no,no,si,no,mes a mes,0,cheque electronico,90.35,190.5,2.9681340341655713,5
0141YEAYS,0,f,1,0,0,27,1,si,fibra optica,no,si,si,no,no,no,mes a mes,1,bank transfer automatic,86.45,2401.05,2.840013140604468,5
0142GVYSN,0,m,0,0,0,26,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,mes a mes,1,cheque electronico,20.3,511.25,0.6668856767411301,1
0147ESWWR,0,f,1,1,0,39,1,si,fibra optica,no,no,no,si,si,si,mes a mes,1,cheque electronico,101.25,3949.15,3.326215505913272,6
0148DCDOS,1,m,0,0,0,25,1,si,fibra optica,no,no,no,no,si,si,mes a mes,1,bank transfer automatic,94.7,2362.1,3.1110381077529565,5
0151ONTOV,1,f,0,0,0,1,1,no,fibra optica,no,no,no,no,no,no,mes a mes,0,cheque enviado por correo,70.9,70.9,2.3291721419185283,2
0154QYHJU,0,m,0,0,0,29,1,no,dsl,si,si,no,si,no,no,un ano,1,cheque electronico,58.75,1696.2,1.9300262812089355,5
0156FVPTA,1,m,0,1,0,22,1,no,dsl,si,no,no,si,no,no,mes a mes,1,cheque electronico,54.2,1152.7,1.780551905387648,4
0162RZGMZ,0,f,1,0,0,5,1,no,dsl,si,si,no,si,no,no,mes a mes,0,credit card automatic,59.9,287.85,1.9678055190538764,5
0164APGRB,0,f,0,0,0,72,1,si,fibra optica,si,si,si,si,si,si,dos anos,1,cheque electronico,114.9,8496.7,3.7746386333771356,9
0164XAIRP,0,f,0,0,0,24,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,dos anos,1,bank transfer automatic,19.55,470.2,0.6422470433639947,1
0168XZKBB,0,f,0,1,0,19,1,si,fibra optica,no,no,no,no,si,no,mes a mes,1,cheque electronico,86.85,1564.4,2.853153745072273,4
0174QRVVY,0,m,0,1,1,71,1,si,no,nsin,nsin,nsin,nsin,nsin,nsin,dos anos,0,credit card automatic,25.35,1847.55,0.8327858081471747,2
0177PXBAT,0,m,1,1,0,33,1,si,fibra optica,si,no,si,si,si,si,mes a mes,1,bank transfer automatic,109.9,3694.7,3.6103810775295666,8
0178CIIKR,0,f,0,0,0,3,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,mes a mes,0,cheque enviado por correo,19.95,58.0,0.6553876478318003,1
0178SZBHO,0,m,0,1,1,47,1,si,fibra optica,no,si,no,no,si,no,mes a mes,0,cheque electronico,87.2,4017.45,2.864651773981603,5
0181RITDD,0,m,0,1,1,62,1,no,fibra optica,si,si,si,si,si,si,dos anos,0,cheque enviado por correo,108.15,6825.65,3.5528909329829172,8
0186CAERR,0,m,0,0,0,71,1,si,fibra optica,si,si,si,si,si,si,un ano,1,bank transfer automatic,116.3,8309.55,3.8206307490144544,9
0187QSXOE,0,m,1,1,0,7,1,no,fibra optica,no,no,no,no,si,si,mes a mes,1,cheque electronico,89.0,605.45,2.923784494086728,4
0187WZNAB,0,f,0,1,1,27,1,no,fibra optica,si,no,no,no,no,no,mes a mes,0,cheque enviado por correo,74.4,1972.35,2.4441524310118266,3
0188GWFLE,0,m,0,0,0,2,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,mes a mes,0,cheque enviado por correo,20.05,33.7,0.6586727989487516,1
0191EQUUH,0,f,0,0,1,25,0,nst,dsl,si,no,no,si,no,no,dos anos,0,bank transfer automatic,35.05,844.45,1.1514454664914584,3
0191ZHSKZ,0,m,1,0,0,30,1,no,dsl,si,si,no,no,si,si,mes a mes,1,cheque electronico,74.75,2111.3,2.455650459921156,6
0193ESZXP,1,f,1,1,0,58,1,no,fibra optica,si,si,no,si,si,si,un ano,1,credit card automatic,105.5,6205.5,3.4658344283837055,7
0195IESCP,1,m,0,1,0,10,1,si,fibra optica,no,no,no,no,no,si,mes a mes,1,cheque electronico,85.25,855.3,2.800591327201051,4
0196JTUQI,0,f,0,0,0,9,1,si,fibra optica,no,no,no,no,no,no,mes a mes,1,credit card automatic,75.2,633.85,2.4704336399474376,3
0196VULGZ,1,f,1,1,0,6,1,si,fibra optica,no,no,no,no,no,si,mes a mes,1,cheque electronico,84.35,474.9,2.7710249671484886,4
0197PNKNK,0,f,0,1,1,69,1,si,fibra optica,si,no,si,no,no,no,un ano,0,bank transfer automatic,84.45,5848.6,2.7743101182654404,5
0201MIBOL,0,f,1,0,0,66,1,si,fibra optica,si,no,no,no,si,si,dos anos,1,bank transfer automatic,102.4,6471.85,3.3639947437582127,6
0201OAMXR,1,f,0,0,0,70,1,si,fibra optica,si,si,si,si,si,si,un ano,0,credit card automatic,115.55,8127.6,3.795992115637319,9
0203HHYIJ,1,m,0,0,0,25,1,si,no,nsin,nsin,nsin,nsin,nsin,nsin,un ano,0,bank transfer automatic,25.3,676.35,0.831143232588699,2
0206OYVOC,0,f,0,1,1,46,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,dos anos,1,cheque enviado por correo,19.25,864.2,0.6323915900131406,1
0206TBWLC,0,f,0,1,0,54,1,si,fibra optica,si,si,si,si,si,si,un ano,1,cheque enviado por correo,114.65,6049.5,3.766425755584757,9
0207MDKNV,1,f,0,0,0,15,1,no,fibra optica,si,no,si,si,si,si,mes a mes,0,cheque electronico,105.1,1582.75,3.4526938239159,7
0208BPQEJ,0,f,0,1,1,12,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,mes a mes,0,bank transfer automatic,19.4,198.1,0.6373193166885676,1
0212ISBBF,0,f,0,0,0,22,0,nst,dsl,no,si,no,no,si,si,mes a mes,1,cheque electronico,50.35,1098.85,1.6540735873850196,4
0214JHPFW,0,f,0,1,0,70,0,nst,dsl,no,si,si,si,si,si,dos anos,0,bank transfer automatic,57.8,4039.3,1.8988173455978974,6
0215BQKGS,0,m,0,0,0,30,1,no,fibra optica,si,si,si,no,no,no,mes a mes,1,credit card automatic,84.3,2438.6,2.769382391590013,5
0218QNVAS,0,m,0,1,1,71,1,si,fibra optica,no,si,no,no,si,si,un ano,0,bank transfer automatic,100.55,7113.75,3.303219448094612,6
0219QAERP,0,m,0,1,0,30,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,un ano,0,credit card automatic,19.8,576.65,0.6504599211563732,1
0219YTZUE,1,m,0,1,1,4,1,si,fibra optica,no,si,si,no,no,no,mes a mes,1,bank transfer automatic,84.8,371.9,2.78580814717477,5
0220EBGCE,1,m,0,0,0,2,1,no,fibra optica,no,no,si,no,no,si,mes a mes,1,cheque electronico,85.85,167.3,2.8203022339027592,4
0221NAUXK,0,m,0,0,1,10,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,un ano,1,bank transfer automatic,19.95,219.5,0.6553876478318003,1
0221WMXNQ,0,m,1,0,0,4,1,no,fibra optica,si,no,no,no,no,no,mes a mes,0,cheque electronico,75.35,273.4,2.4753613666228644,3
0222CNVPT,0,m,1,0,0,52,0,nst,dsl,si,no,no,no,si,si,mes a mes,1,credit card automatic,48.8,2555.05,1.6031537450722733,4
0224HJAPT,1,m,0,0,0,5,1,si,dsl,no,no,no,no,no,no,mes a mes,0,cheque electronico,47.15,223.15,1.5489487516425755,3
0224NIJLP,0,m,0,1,1,8,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,dos anos,0,cheque enviado por correo,20.15,165.5,0.6619579500657029,1
0224RLWWD,0,f,1,0,0,2,1,no,dsl,no,no,no,no,no,no,mes a mes,1,cheque electronico,44.3,89.3,1.455321944809461,2
0225ZORZP,0,m,0,0,0,3,1,no,fibra optica,no,si,no,no,no,si,mes a mes,0,cheque electronico,84.3,235.05,2.769382391590013,4
0228MAUWC,0,m,0,0,0,19,1,si,dsl,no,no,si,si,no,no,mes a mes,0,cheque electronico,59.55,1144.6,1.9563074901445465,5
0229LFJAF,0,m,0,0,0,72,1,si,dsl,si,si,si,si,no,no,dos anos,0,bank transfer automatic,69.65,4908.25,2.2881077529566363,7
0230UBYPQ,0,m,1,1,0,63,0,nst,dsl,si,no,no,si,no,no,un ano,0,bank transfer automatic,36.1,2298.9,1.185939553219448,3
0230WEQUW,0,m,0,1,0,66,0,nst,dsl,si,si,si,si,si,no,dos anos,1,bank transfer automatic,56.6,3789.2,1.8593955321944808,6
0231LXVAP,1,m,0,0,0,1,1,no,fibra optica,no,no,no,si,no,no,mes a mes,1,cheque electronico,75.9,75.9,2.4934296977660972,3
0233FTHAV,0,f,0,0,0,60,1,si,fibra optica,no,no,si,no,no,no,un ano,1,bank transfer automatic,79.2,4765.0,2.6018396846254928,4
0234TEVTT,0,f,0,1,1,48,0,nst,dsl,si,no,si,no,no,si,un ano,0,credit card automatic,45.0,2196.3,1.4783180026281209,4
0235KGSLC,1,f,0,0,0,1,1,no,fibra optica,no,no,si,no,si,no,mes a mes,1,credit card automatic,85.55,85.55,2.810446780551905,4
0236HFWSV,1,m,0,0,0,15,1,si,fibra optica,no,no,no,no,si,si,mes a mes,1,cheque electronico,93.35,1444.65,3.0666885676741127,5
0237YFUTL,0,f,0,1,0,50,1,si,fibra optica,si,si,no,si,si,si,mes a mes,1,bank transfer automatic,109.65,5405.8,3.602168199737188,8
0238WHBIQ,0,m,0,1,1,72,1,si,dsl,si,si,si,si,si,si,dos anos,0,credit card automatic,89.7,6339.3,2.9467805519053876,9
0239OXEXL,0,f,0,0,0,46,1,si,fibra optica,si,si,no,no,no,no,mes a mes,0,cheque enviado por correo,84.25,3847.6,2.767739816031537,5
0244LGNFY,0,f,0,1,1,72,1,si,dsl,si,si,si,si,si,si,dos anos,0,bank transfer automatic,92.65,6733.0,3.0436925098554535,9
0247SLUJI,0,m,0,1,1,1,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,mes a mes,0,cheque enviado por correo,19.7,19.7,0.6471747700394218,1
0248IPDFW,0,f,0,0,0,1,1,si,dsl,no,no,no,no,no,no,mes a mes,1,cheque electronico,50.1,50.1,1.6458607095926412,3
0248PGHBZ,0,f,1,0,0,67,1,no,fibra optica,si,si,no,si,si,no,dos anos,1,bank transfer automatic,92.45,6140.85,3.0371222076215507,6
0253ZTEOB,0,f,0,1,1,48,1,si,dsl,no,si,no,si,si,si,dos anos,0,cheque electronico,79.65,3870.3,2.616622864651774,7
0254FNMCI,0,f,0,0,0,72,1,no,fibra optica,si,si,si,si,si,si,dos anos,1,cheque electronico,109.9,7624.2,3.6103810775295666,8
0254KCJGT,0,m,0,1,0,52,1,si,dsl,si,si,si,si,no,si,un ano,1,credit card automatic,81.4,4354.45,2.674113009198423,8
0254WWRKD,0,f,0,1,1,67,1,no,dsl,no,si,no,no,no,no,un ano,0,credit card automatic,50.55,3431.75,1.6606438896189224,3
0256LTHVJ,1,f,0,1,1,28,1,no,fibra optica,no,no,no,no,no,si,mes a mes,1,cheque electronico,81.05,2227.1,2.662614980289093,3
0257KXZGU,0,f,0,1,1,32,1,si,dsl,no,si,si,no,no,no,mes a mes,0,bank transfer automatic,62.45,2045.55,2.0515768725361365,5
0257ZESQC,1,f,1,1,0,27,1,no,fibra optica,si,no,no,no,no,no,mes a mes,1,bank transfer automatic,75.2,1929.35,2.4704336399474376,3
0258NOKBL,0,m,0,0,0,3,1,no,fibra optica,no,si,si,no,no,si,mes a mes,0,cheque electronico,90.4,268.45,2.9697766097240472,5
0259GBZSH,1,m,0,0,0,2,1,si,fibra optica,no,no,no,no,si,no,mes a mes,1,cheque electronico,85.65,181.5,2.813731931668857,4
0260ZDLGK,1,f,0,0,1,9,1,no,dsl,no,no,si,si,si,si,mes a mes,1,cheque enviado por correo,72.9,651.4,2.394875164257556,6
0263FJTQO,0,m,0,1,1,50,1,si,dsl,si,no,no,si,si,no,dos anos,1,credit card automatic,70.5,3486.65,2.3160315374507228,6
0264CNITK,0,f,0,1,1,71,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,dos anos,0,bank transfer automatic,20.1,1389.6,0.6603153745072273,1
0265EDXBD,1,m,1,1,0,32,1,si,fibra optica,no,no,no,no,no,no,mes a mes,1,cheque electronico,74.9,2303.35,2.4605781865965834,3
0265PSUAE,0,f,0,1,1,16,1,no,fibra optica,si,no,si,no,si,si,mes a mes,0,bank transfer automatic,100.7,1522.7,3.3081471747700393,6
0266CLZKZ,0,f,0,1,1,67,1,si,fibra optica,no,no,si,si,si,si,dos anos,1,bank transfer automatic,105.65,6717.9,3.4707621550591328,7
0266GMEAO,0,m,0,1,1,72,1,si,fibra optica,si,si,si,si,si,si,dos anos,1,credit card automatic,114.3,8058.55,3.754927726675427,9
0268QKIWO,1,f,0,0,0,3,1,no,no,nsin,nsin,nsin,nsin,nsin,nsin,mes a mes,0,cheque electronico,19.75,58.85,0.6488173455978975,1
0269XFESX,0,m,0,1,1,23,1,si,no,nsin,nsin,nsin,nsin,nsin,nsin,un ano,0,cheque enviado por correo,24.35,538.5,0.7999342969776609,2
0270THENM,0,m,0,1,1,72,1,si,dsl,si,si,si,si,no,no,dos anos,0,bank transfer automatic,69.85,5102.35,2.2946780551905386,7
